Dates,Pollster,Sponsor,Sample,Influence,Approve,RollingWeightedApprove
2025-02-17,Emerson College,,"1,000 RV@@1000",0,47.35828,41.30330
2025-02-17,co/efficient,,"2,063 LV@@2063",0,47.08217,41.30330
2025-02-17,Quinnipiac University,,"1,039 RV@@1039",0,47.53584,41.30330
2025-02-17,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-02-17,Blueprint Polling,,"1,383 RV@@1383",0,47.61543,41.30330
2025-02-16,SurveyUSA,,"2,000 A@@2000",0,50.24984,41.30330
2025-02-16,Morning Consult,,"2,217 RV@@2217",0,48.62464,41.30330
2025-02-16,Gallup,,"1,004 A@@1004",0,47.02891,41.30330
2025-02-15,Harris Insights & Analytics,Deseret News,"1,009 RV@@1009",0,50.54302,41.30330
2025-02-14,Rasmussen Reports,,"1,500 LV@@1500",0,49.56205,41.30330
2025-02-14,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,50.83949,41.30330
2025-02-13,Rasmussen Reports,,"1,500 LV@@1500",0,50.56205,41.30330
2025-02-13,Echelon Insights,,"1,010 LV@@1010",0,51.055,41.30330
2025-02-12,Rasmussen Reports,,"1,500 LV@@1500",0,50.56205,41.30330
2025-02-11,Rasmussen Reports,,"1,500 LV@@1500",0,49.56205,41.30330
2025-02-11,YouGov,Elon University,"1,000 A@@1000",0,46.61495,41.30330
2025-02-11,YouGov,Economist,"1,595 A@@1595",0,47.61495,41.30330
2025-02-10,Rasmussen Reports,,"1,500 LV@@1500",0,49.56205,41.30330
2025-02-09,Trafalgar Group/Insider Advantage,,"1,321 RV@@1321",0,52.12127,41.30330
2025-02-09,Morning Consult,,"2,230 RV@@2230",0,48.62464,41.30330
2025-02-09,J.L. Partners,Daily Mail,"1,017 RV@@1017",0,46.10332,41.30330
2025-02-07,YouGov,CBS News,"2,175 A@@2175",0,54.61495,41.30330
2025-02-07,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-02-06,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-02-06,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,46.83949,41.30330
2025-02-06,Clarity Campaign Labs,,"1,102 RV@@1102",0,47.05738,41.30330
2025-02-05,Marquette University Law School,,"1,063 A@@1063",0,47.78012,41.30330
2025-02-05,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-02-05,Cygnal,,"1,500 LV@@1500",0,49.41921,41.30330
2025-02-04,YouGov,Economist,"1,604 A@@1604",0,47.61495,41.30330
2025-02-04,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-02-03,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,49.38024,41.30330
2025-02-03,Morning Consult,,"2,303 RV@@2303",0,47.62464,41.30330
2025-02-03,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-02-02,Pew Research Center,,"5,086 A@@5086",0,48.88805,41.30330
2025-02-01,Fabrizio Lee & Associates/Impact Research,AARP,"3,000 RV@@3000",0,47.81487,41.30330
2025-01-31,RMG Research,Napolitan News Service,"4,000 RV@@4000",0,48.83949,41.30330
2025-01-31,TIPP Insights,,"1,478 A@@1478",0,46.82496,41.30330
2025-01-31,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-01-30,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-01-29,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-01-28,YouGov,Economist,"1,577 A@@1577",0,50.61495,41.30330
2025-01-28,YouGov,Economist,"1,577 A@@1577",0,50.61495,41.30330
2025-01-28,Emerson College,,"1,000 RV@@1000",0,48.05828,41.30330
2025-01-28,co/efficient,,"1,570 LV@@1570",0,51.08217,41.30330
2025-01-28,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-01-27,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-01-27,Gallup,,"1,001 A@@1001",0,49.02891,41.30330
2025-01-27,Quinnipiac University,,"1,019 RV@@1019",0,48.53584,41.30330
2025-01-27,Morning Consult,,"36,357 A@@36357",0,50.97464,41.30330
2025-01-27,McLaughlin & Associates,,"1,000 LV@@1000",0,50.65004,41.30330
2025-01-26,Morning Consult,,"2,302 RV@@2302",0,50.62464,41.30330
2025-01-26,Ipsos,Reuters,"1,034 A@@1034",0,47.02571,41.30330
2025-01-24,Research Co.,,"1,001 A@@1001",0,50.02621,41.30330
2025-01-24,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-01-24,Echelon Insights,,"1,024 LV@@1024",0,50.055,41.30330
2025-01-23,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,52.83949,41.30330
2025-01-23,AtlasIntel,,"1,882 A@@1882",0,49.66828,41.30330
2025-01-21,Ipsos,Reuters,"1,077 A@@1077",0,49.02571,41.30330
2025-01-20,InsiderAdvantage,,800 RV@@800,0,52.47902,41.30330
